"populacao_rank","populacao","codigo_ibge","cidade_nome","cidade_link"
67,386495,"3201308","Cariacica","https://pt.wikipedia.org/wiki/Cariacica"
68,381706,"3506003","Bauru","https://pt.wikipedia.org/wiki/Bauru"
69,379082,"3523107","Itaquaquecetuba","https://pt.wikipedia.org/wiki/Itaquaquecetuba"
70,370839,"3551009","São Vicente","https://pt.wikipedia.org/wiki/S%C3%A3o_Vicente_(S%C3%A3o_Paulo)"
71,369534,"3205309","Vitória","https://pt.wikipedia.org/wiki/Vit%C3%B3ria_(Esp%C3%ADrito_Santo)"
72,369343,"2604106","Caruaru","https://pt.wikipedia.org/wiki/Caruaru"
73,368918,"2303709","Caucaia","https://pt.wikipedia.org/wiki/Caucaia"
74,366418,"4202404","Blumenau","https://pt.wikipedia.org/wiki/Blumenau"
75,359372,"2611101","Petrolina","https://pt.wikipedia.org/wiki/Petrolina"
76,358838,"4119905","Ponta Grossa","https://pt.wikipedia.org/wiki/Ponta_Grossa"
77,358539,"3516200","Franca","https://pt.wikipedia.org/wiki/Franca"
78,349728,"4304606","Canoas","https://pt.wikipedia.org/wiki/Canoas"
79,343826,"4314407","Pelotas","https://pt.wikipedia.org/wiki/Pelotas"
80,343643,"2933307","Vitória da Conquista","https://pt.wikipedia.org/wiki/Vit%C3%B3ria_da_Conquista"
81,341415,"3154606","Ribeirão das Neves","https://pt.wikipedia.org/wiki/Ribeir%C3%A3o_das_Neves"
82,340277,"3170107","Uberaba","https://pt.wikipedia.org/wiki/Uberaba"
83,336919,"2610707","Paulista","https://pt.wikipedia.org/wiki/Paulista_(Pernambuco)"
84,336454,"3541000","Praia Grande","https://pt.wikipedia.org/wiki/Praia_Grande_(S%C3%A3o_Paulo)"
85,336073,"4104808","Cascavel","https://pt.wikipedia.org/wiki/Cascavel_(Paran%C3%A1)"
86,334620,"4125506","São José dos Pinhais","https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_dos_Pinhais"
87,324977,"3518701","Guarujá","https://pt.wikipedia.org/wiki/Guaruj%C3%A1"
88,320820,"3554102","Taubaté","https://pt.wikipedia.org/wiki/Taubat%C3%A9"
89,313349,"1721000","Palmas","https://pt.wikipedia.org/wiki/Palmas"
90,310783,"3526902","Limeira","https://pt.wikipedia.org/wiki/Limeira"
91,309208,"2905701","Camaçari","https://pt.wikipedia.org/wiki/Cama%C3%A7ari"
92,308339,"1506807","Santarém","https://pt.wikipedia.org/wiki/Santar%C3%A9m_(Par%C3%A1)"
93,307144,"3303906","Petrópolis","https://pt.wikipedia.org/wiki/Petr%C3%B3polis"
94,303792,"2408003","Mossoró","https://pt.wikipedia.org/wiki/Mossor%C3%B3"
95,303397,"3552502","Suzano","https://pt.wikipedia.org/wiki/Suzano"
96,297528,"3552809","Taboão da Serra","https://pt.wikipedia.org/wiki/Tabo%C3%A3o_da_Serra"
97,290383,"5108402","Várzea Grande","https://pt.wikipedia.org/wiki/V%C3%A1rzea_Grande_(Mato_Grosso)"
98,289875,"3552403","Sumaré","https://pt.wikipedia.org/wiki/Sumar%C3%A9"
99,287664,"1504208","Marabá","https://pt.wikipedia.org/wiki/Marab%C3%A1"
100,285564,"4309209","Gravataí","https://pt.wikipedia.org/wiki/Gravata%C3%AD"
101,285159,"4316907","Santa Maria","https://pt.wikipedia.org/wiki/Santa_Maria_(Rio_Grande_do_Sul)"
102,282164,"3127701","Governador Valadares","https://pt.wikipedia.org/wiki/Governador_Valadares"
103,279704,"3505708","Barueri","https://pt.wikipedia.org/wiki/Barueri"
104,279264,"3515004","Embu das Artes","https://pt.wikipedia.org/wiki/Embu_das_Artes"
105,278264,"2307304","Juazeiro do Norte","https://pt.wikipedia.org/wiki/Juazeiro_do_Norte"
106,274925,"3306305","Volta Redonda","https://pt.wikipedia.org/wiki/Volta_Redonda"
107,272490,"2403251","Parnamirim","https://pt.wikipedia.org/wiki/Parnamirim_(Rio_Grande_do_Norte)"
108,267333,"3131307","Ipatinga","https://pt.wikipedia.org/wiki/Ipatinga"
109,266136,"3302403","Macaé","https://pt.wikipedia.org/wiki/Maca%C3%A9"
110,260690,"3520509","Indaiatuba","https://pt.wikipedia.org/wiki/Indaiatuba"
111,259980,"2105302","Imperatriz","https://pt.wikipedia.org/wiki/Imperatriz_(Maranh%C3%A3o)"
112,257971,"4108304","Foz do Iguaçu","https://pt.wikipedia.org/wiki/Foz_do_Igua%C3%A7u"
113,257882,"3513009","Cotia","https://pt.wikipedia.org/wiki/Cotia"
114,257330,"4323002","Viamão","https://pt.wikipedia.org/wiki/Viam%C3%A3o"
115,256915,"3548906","São Carlos","https://pt.wikipedia.org/wiki/S%C3%A3o_Carlos_(S%C3%A3o_Paulo)"
116,253705,"4216602","São José","https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_(Santa_Catarina)"
117,249277,"4105805","Colombo","https://pt.wikipedia.org/wiki/Colombo_(Paran%C3%A1)"
118,247741,"3302502","Magé","https://pt.wikipedia.org/wiki/Mag%C3%A9"
119,247303,"4313409","Novo Hamburgo","https://pt.wikipedia.org/wiki/Novo_Hamburgo"
120,247259,"5218805","Rio Verde","https://pt.wikipedia.org/wiki/Rio_Verde"
121,244416,"3301900","Itaboraí","https://pt.wikipedia.org/wiki/Itabora%C3%AD"
122,244370,"3501608","Americana","https://pt.wikipedia.org/wiki/Americana"
123,244131,"3522505","Itapevi","https://pt.wikipedia.org/wiki/Itapevi"
124,243950,"3167202","Sete Lagoas","https://pt.wikipedia.org/wiki/Sete_Lagoas"
125,242505,"3122306","Divinópolis","https://pt.wikipedia.org/wiki/Divin%C3%B3polis"
126,242249,"3529005","Marília","https://pt.wikipedia.org/wiki/Mar%C3%ADlia"
127,240542,"3503208","Araraquara","https://pt.wikipedia.org/wiki/Araraquara"
128,240378,"4318705","São Leopoldo","https://pt.wikipedia.org/wiki/S%C3%A3o_Leopoldo"
129,239613,"5107602","Rondonópolis","https://pt.wikipedia.org/wiki/Rondon%C3%B3polis"
130,237570,"3519071","Hortolândia","https://pt.wikipedia.org/wiki/Hortol%C3%A2ndia"
131,237119,"3524402","Jacareí","https://pt.wikipedia.org/wiki/Jacare%C3%AD"
132,234309,"2700300","Arapiraca","https://pt.wikipedia.org/wiki/Arapiraca"
133,234077,"3300704","Cabo Frio","https://pt.wikipedia.org/wiki/Cabo_Frio"
134,231953,"3541406","Presidente Prudente","https://pt.wikipedia.org/wiki/Presidente_Prudente"
135,230986,"2307650","Maracanaú","https://pt.wikipedia.org/wiki/Maracana%C3%BA"
136,227990,"5003702","Dourados","https://pt.wikipedia.org/wiki/Dourados"
137,227587,"4204202","Chapecó","https://pt.wikipedia.org/wiki/Chapec%C3%B3"
138,226617,"4208203","Itajaí","https://pt.wikipedia.org/wiki/Itaja%C3%AD"
139,222850,"5200258","Águas Lindas de Goiás","https://pt.wikipedia.org/wiki/%C3%81guas_Lindas_de_Goi%C3%A1s"
140,221705,"3157807","Santa Luzia","https://pt.wikipedia.org/wiki/Santa_Luzia_(Minas_Gerais)"
141,219544,"2918407","Juazeiro","https://pt.wikipedia.org/wiki/Juazeiro_(Bahia)"
142,219393,"4204608","Criciúma","https://pt.wikipedia.org/wiki/Crici%C3%BAma"
143,218787,"1505536","Parauapebas","https://pt.wikipedia.org/wiki/Parauapebas"
144,214645,"5212501","Luziânia","https://pt.wikipedia.org/wiki/Luzi%C3%A2nia"
145,214123,"2914802","Itabuna","https://pt.wikipedia.org/wiki/Itabuna"
146,212881,"4315602","Rio Grande","https://pt.wikipedia.org/wiki/Rio_Grande_(Rio_Grande_do_Sul)"
147,212437,"2312908","Sobral","https://pt.wikipedia.org/wiki/Sobral_(Cear%C3%A1)"
148,212352,"4300604","Alvorada","https://pt.wikipedia.org/wiki/Alvorada_(Rio_Grande_do_Sul)"
149,212172,"3201209","Cachoeiro de Itapemirim","https://pt.wikipedia.org/wiki/Cachoeiro_de_Itapemirim"
150,210796,"2602902","Cabo de Santo Agostinho","https://pt.wikipedia.org/wiki/Cabo_de_Santo_Agostinho"
151,210171,"3300100","Angra dos Reis","https://pt.wikipedia.org/wiki/Angra_dos_Reis"
152,209548,"3543907","Rio Claro","https://pt.wikipedia.org/wiki/Rio_Claro_(S%C3%A3o_Paulo)"
153,206103,"4314100","Passo Fundo","https://pt.wikipedia.org/wiki/Passo_Fundo"
154,205667,"1502400","Castanhal","https://pt.wikipedia.org/wiki/Castanhal"
155,204669,"2919207","Lauro de Freitas","https://pt.wikipedia.org/wiki/Lauro_de_Freitas"
156,199210,"3502804","Araçatuba","https://pt.wikipedia.org/wiki/Ara%C3%A7atuba"
157,198661,"3515707","Ferraz de Vasconcelos","https://pt.wikipedia.org/wiki/Ferraz_de_Vasconcelos"
158,195278,"3545803","Santa Bárbara d'Oeste","https://pt.wikipedia.org/wiki/Santa_B%C3%A1rbara_d%27Oeste"
159,191664,"3303401","Nova Friburgo","https://pt.wikipedia.org/wiki/Nova_Friburgo"
160,187733,"2804805","Nossa Senhora do Socorro","https://pt.wikipedia.org/wiki/Nossa_Senhora_do_Socorro"
161,186245,"1702109","Araguaína","https://pt.wikipedia.org/wiki/Aragua%C3%ADna"
162,185820,"3305802","Teresópolis","https://pt.wikipedia.org/wiki/Teres%C3%B3polis"
163,185237,"3300407","Barra Mansa","https://pt.wikipedia.org/wiki/Barra_Mansa"
164,184579,"4208906","Jaraguá do Sul","https://pt.wikipedia.org/wiki/Jaragu%C3%A1_do_Sul"
165,184030,"3129806","Ibirité","https://pt.wikipedia.org/wiki/Ibirit%C3%A9"
166,183755,"4109401","Guarapuava","https://pt.wikipedia.org/wiki/Guarapuava"
167,180345,"2111201","São José de Ribamar","https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_de_Ribamar"
168,179755,"3203205","Linhares","https://pt.wikipedia.org/wiki/Linhares_(Esp%C3%ADrito_Santo)"
169,179574,"3522208","Itapecerica da Serra","https://pt.wikipedia.org/wiki/Itapecerica_da_Serra"
170,179372,"3516309","Francisco Morato","https://pt.wikipedia.org/wiki/Francisco_Morato"
171,178679,"4211900","Palhoça","https://pt.wikipedia.org/wiki/Palho%C3%A7a"
172,177150,"3523909","Itu","https://pt.wikipedia.org/wiki/Itu"
173,177016,"3302858","Mesquita","https://pt.wikipedia.org/wiki/Mesquita_(Rio_de_Janeiro)"
174,175720,"5221858","Valparaíso de Goiás","https://pt.wikipedia.org/wiki/Valpara%C3%ADso_de_Goi%C3%A1s"
175,172346,"3507605","Bragança Paulista","https://pt.wikipedia.org/wiki/Bragan%C3%A7a_Paulista"
176,171885,"3538006","Pindamonhangaba","https://pt.wikipedia.org/wiki/Pindamonhangaba"
177,171317,"2112209","Timon","https://pt.wikipedia.org/wiki/Timon"
178,169838,"3151800","Poços de Caldas","https://pt.wikipedia.org/wiki/Po%C3%A7os_de_Caldas"
179,167668,"3302700","Maricá","https://pt.wikipedia.org/wiki/Maric%C3%A1"
180,167106,"3522307","Itapetininga","https://pt.wikipedia.org/wiki/Itapetininga"
181,166159,"2103000","Caxias","https://pt.wikipedia.org/wiki/Caxias_(Maranh%C3%A3o)"
182,164290,"2931350","Teixeira de Freitas","https://pt.wikipedia.org/wiki/Teixeira_de_Freitas"
183,162893,"3303203","Nilópolis","https://pt.wikipedia.org/wiki/Nil%C3%B3polis"
184,162763,"3548807","São Caetano do Sul","https://pt.wikipedia.org/wiki/S%C3%A3o_Caetano_do_Sul"
185,160439,"1500107","Abaetetuba","https://pt.wikipedia.org/wiki/Abaetetuba"
186,159945,"2603454","Camaragibe","https://pt.wikipedia.org/wiki/Camaragibe"
187,159529,"3304524","Rio das Ostras","https://pt.wikipedia.org/wiki/Rio_das_Ostras"
188,158438,"3516408","Franco da Rocha","https://pt.wikipedia.org/wiki/Franco_da_Rocha"
189,158432,"2903201","Barreiras","https://pt.wikipedia.org/wiki/Barreiras"
190,157639,"2913606","Ilhéus","https://pt.wikipedia.org/wiki/Ilh%C3%A9us"
191,157378,"4118204","Paranaguá","https://pt.wikipedia.org/wiki/Paranagu%C3%A1"
192,157158,"4209300","Lages","https://pt.wikipedia.org/wiki/Lages"
193,156277,"2918001","Jequié","https://pt.wikipedia.org/wiki/Jequi%C3%A9"
194,154641,"3148004","Patos de Minas","https://pt.wikipedia.org/wiki/Patos_de_Minas"
195,154293,"3152501","Pouso Alegre","https://pt.wikipedia.org/wiki/Pouso_Alegre"
196,154146,"3530706","Mogi Guaçu","https://pt.wikipedia.org/wiki/Mogi_Gua%C3%A7u"
197,153863,"2207702","Parnaíba","https://pt.wikipedia.org/wiki/Parna%C3%ADba"
198,153463,"3525300","Jaú","https://pt.wikipedia.org/wiki/Ja%C3%BA"
199,153023,"2900702","Alagoinhas","https://pt.wikipedia.org/wiki/Alagoinhas"
200,152529,"2925303","Porto Seguro","https://pt.wikipedia.org/wiki/Porto_Seguro"
201,152311,"3304144","Queimados","https://pt.wikipedia.org/wiki/Queimados"
202,149718,"3507506","Botucatu","https://pt.wikipedia.org/wiki/Botucatu"
203,149227,"4202008","Balneário Camboriú","https://pt.wikipedia.org/wiki/Balne%C3%A1rio_Cambori%C3%BA"
204,148960,"5107909","Sinop","https://pt.wikipedia.org/wiki/Sinop"
205,148522,"4101804","Araucária","https://pt.wikipedia.org/wiki/Arauc%C3%A1ria_(Paran%C3%A1)"
206,145378,"3504107","Atibaia","https://pt.wikipedia.org/wiki/Atibaia"
207,145073,"3547304","Santana de Parnaíba","https://pt.wikipedia.org/wiki/Santana_de_Parna%C3%ADba"
208,144601,"4127700","Toledo","https://pt.wikipedia.org/wiki/Toledo_(Paran%C3%A1)"
209,142508,"4320008","Sapucaia do Sul","https://pt.wikipedia.org/wiki/Sapucaia_do_Sul"
210,141347,"2606002","Garanhuns","https://pt.wikipedia.org/wiki/Garanhuns"
211,141269,"3168606","Teófilo Otoni","https://pt.wikipedia.org/wiki/Te%C3%B3filo_Otoni"
212,140814,"1502103","Cametá","https://pt.wikipedia.org/wiki/Camet%C3%A1"
213,140597,"4202909","Brusque","https://pt.wikipedia.org/wiki/Brusque"
214,140389,"2616407","Vitória de Santo Antão","https://pt.wikipedia.org/wiki/Vit%C3%B3ria_de_Santo_Ant%C3%A3o"
215,139061,"3105608","Barbacena","https://pt.wikipedia.org/wiki/Barbacena_(Minas_Gerais)"
216,138093,"2513703","Santa Rita","https://pt.wikipedia.org/wiki/Santa_Rita_(Para%C3%ADba)"
217,137877,"3156700","Sabará","https://pt.wikipedia.org/wiki/Sabar%C3%A1"
218,137608,"3170701","Varginha","https://pt.wikipedia.org/wiki/Varginha"
219,137438,"4101408","Apucarana","https://pt.wikipedia.org/wiki/Apucarana"
220,137117,"2930709","Simões Filho","https://pt.wikipedia.org/wiki/Sim%C3%B5es_Filho"
221,136739,"3503307","Araras","https://pt.wikipedia.org/wiki/Araras_(S%C3%A3o_Paulo)"
222,136547,"3302007","Itaguaí","https://pt.wikipedia.org/wiki/Itagua%C3%AD"
223,136109,"3300209","Araruama","https://pt.wikipedia.org/wiki/Araruama"
224,135812,"1504422","Marituba","https://pt.wikipedia.org/wiki/Marituba"
225,135732,"1507300","São Félix do Xingu","https://pt.wikipedia.org/wiki/S%C3%A3o_F%C3%A9lix_do_Xingu"
226,135678,"4104204","Campo Largo","https://pt.wikipedia.org/wiki/Campo_Largo_(Paran%C3%A1)"
227,134788,"4119152","Pinhais","https://pt.wikipedia.org/wiki/Pinhais"
228,134629,"3204906","São Mateus","https://pt.wikipedia.org/wiki/S%C3%A3o_Mateus_(Esp%C3%ADrito_Santo)"
229,133913,"2304202","Crato","https://pt.wikipedia.org/wiki/Crato_(Cear%C3%A1)"
230,133244,"3304201","Resende","https://pt.wikipedia.org/wiki/Resende_(Rio_de_Janeiro)"
231,133169,"3556206","Valinhos","https://pt.wikipedia.org/wiki/Valinhos"
232,132521,"3513504","Cubatão","https://pt.wikipedia.org/wiki/Cubat%C3%A3o"
233,132271,"4316808","Santa Cruz do Sul","https://pt.wikipedia.org/wiki/Santa_Cruz_do_Sul"
234,132144,"4303103","Cachoeirinha","https://pt.wikipedia.org/wiki/Cachoeirinha_(Rio_Grande_do_Sul)"
235,132006,"5221403","Trindade","https://pt.wikipedia.org/wiki/Trindade_(Goi%C3%A1s)"
